com.fasterxml.jackson,jackson-bom,2.14.3,
com.squareup.okhttp3,okhttp-bom,4.10.0,
io.micrometer,micrometer-bom,1.10.9
io.micrometer,micrometer-tracing-bom,1.0.8
io.netty,netty-bom,4.1.94.Final
io.opentelemetry,opentelemetry-bom,1.19.0
io.projectreactor,reactor-bom,2022.0.9
io.rsocket,rsocket-bom,1.1.3
io.zipkin.reporter2,zipkin-reporter-bom,2.16.3
org.junit,junit-bom,5.9.3
org.springframework,spring-framework-bom,6.0.11
org.springframework.amqp,spring-amqp-bom,3.0.6
org.springframework.batch,spring-batch-bom,5.0.2
org.springframework.data,spring-data-bom,2022.0.8
org.springframework.integration,spring-integration-bom,6.0.6
org.springframework.security,spring-security-bom,6.0.5
org.springframework.session,spring-session-bom,3.0.2
org.springframework.ws,spring-ws-bom,4.0.5
io.zipkin.brave,brave,5.14.1
org.apache.logging.log4j,log4j-bom,2.19.0
